"hubGene","genes","cor"
"Ha412HOChr06g0277881","Ha412HOChr06g0277881",1
"Ha412HOChr06g0277881","Ha412HOChr07g0290051",0.937
"Ha412HOChr06g0277881","Ha412HOChr16g0783391",0.934
"Ha412HOChr06g0277881","Ha412HOChr04g0151371",0.931
"Ha412HOChr06g0277881","Ha412HOChr04g0178161",0.928
"Ha412HOChr06g0277881","Ha412HOChr07g0304891",0.921
"Ha412HOChr06g0277881","Ha412HOChr14g0678101",0.921
"Ha412HOChr06g0277881","Ha412HOChr03g0123901",0.92
"Ha412HOChr06g0277881","Ha412HOChr09g0425091",0.92
"Ha412HOChr06g0277881","Ha412HOChr09g0424381",0.917
"Ha412HOChr11g0489761","Ha412HOChr11g0489761",1
"Ha412HOChr11g0489761","Ha412HOChr02g0049051",0.853
"Ha412HOChr11g0489761","Ha412HOChr06g0248781",0.836
"Ha412HOChr11g0489761","Ha412HOChr02g0066611",0.834
"Ha412HOChr11g0489761","Ha412HOChr04g0177221",0.82
"Ha412HOChr11g0489761","Ha412HOChr17g0827071",0.819
"Ha412HOChr11g0489761","Ha412HOChr10g0461111",0.816
"Ha412HOChr11g0489761","Ha412HOChr04g0181061",0.814
"Ha412HOChr11g0489761","Ha412HOChr13g0612121",0.814
"Ha412HOChr11g0489761","Ha412HOChr15g0717661",0.811
"Ha412HOChr06g0271081","Ha412HOChr06g0271081",1
"Ha412HOChr06g0271081","Ha412HOChr16g0797291",0.959
"Ha412HOChr06g0271081","Ha412HOChr13g0614111",0.956
"Ha412HOChr06g0271081","Ha412HOChr01g0031551",0.948
"Ha412HOChr06g0271081","Ha412HOChr07g0308771",0.948
"Ha412HOChr06g0271081","Ha412HOChr09g0403511",0.946
"Ha412HOChr06g0271081","Ha412HOChr08g0369911",0.944
"Ha412HOChr06g0271081","Ha412HOChr08g0365581",0.943
"Ha412HOChr06g0271081","Ha412HOChr09g0429591",0.943
"Ha412HOChr06g0271081","Ha412HOChr03g0136901",0.938
"Ha412HOChr06g0271081","Ha412HOChr07g0307521",0.937
"Ha412HOChr06g0271081","Ha412HOChr13g0590291",0.937
"Ha412HOChr06g0271081","Ha412HOChr15g0735751",0.937
"Ha412HOChr06g0271081","Ha412HOChr08g0348651",0.936
"Ha412HOChr06g0271081","Ha412HOChr14g0637471",0.936
"Ha412HOChr06g0271081","Ha412HOChr10g0466401",0.935
"Ha412HOChr06g0271081","Ha412HOChr10g0468831",0.934
"Ha412HOChr06g0271081","Ha412HOChr12g0577251",0.934
"Ha412HOChr06g0271081","Ha412HOChr09g0395611",0.933
"Ha412HOChr06g0271081","Ha412HOChr02g0061141",0.932
